scoreline,total_count,atp_count,wta_count
5-7 6-1 7-6,37,21,16
6-0 5-7 6-3,37,15,22
6-2 2-6 6-0,37,12,25
6-7 7-5 6-0,37,24,13
4-6 6-0 6-0,36,8,28
6-7 6-0 6-1,36,19,17
0-6 6-2 6-3,35,15,20
0-6 7-6 6-4,35,17,18
6-4 2-6 6-0,35,12,23
1-6 6-3 6-0,34,20,14
3-6 6-0 7-6,34,17,17
6-0 4-6 7-5,34,16,18
6-1 1-6 7-6,34,20,14
6-4 0-6 6-3,34,14,20
7-5 0-6 6-3,34,15,19
0-6 6-2 6-2,33,15,18
0-6 6-4 6-1,33,15,18
6-0 3-6 7-5,33,10,23
6-0 5-7 6-4,33,8,25
6-3 5-7 6-0,33,12,21
6-4 0-6 7-5,33,20,13
6-7 6-0 7-5,33,18,15
6-7 6-1 6-0,33,17,16
6-0 5-7 6-1,32,9,23
6-0 5-7 6-2,32,10,22
7-5 1-6 6-1,32,18,14
7-5 1-6 7-5,32,17,15
0-6 6-4 7-6,31,19,12
3-6 6-0 7-5,31,12,19
5-7 6-0 6-4,31,16,15
5-7 7-5 6-0,31,14,17
6-2 5-7 6-0,31,6,25
7-6 0-6 6-3,31,13,18
1-6 6-0 6-3,30,11,19
5-7 7-6 6-0,30,13,17
6-4 0-6 6-1,30,15,15
0-6 7-6 6-3,29,12,17
6-0 4-6 7-6,29,14,15
6-0 6-7 6-1,29,17,12
6-1 2-6 6-0,29,11,18
0-6 7-5 6-3,28,10,18
0-6 7-6 6-2,28,10,18
1-6 6-0 6-2,28,7,21
3-6 6-0 6-0,28,10,18
5-7 6-0 6-2,28,12,16
6-2 0-6 6-2,28,9,19
6-3 0-6 7-5,28,14,14
7-6 0-6 6-4,28,14,14
0-6 6-3 6-1,27,7,20
4-6 6-0 7-6,27,15,12
6-0 1-6 6-4,27,7,20
6-0 3-6 7-6,27,14,13
6-2 1-6 6-0,26,10,16
6-7 6-0 6-0,26,11,15
7-6 6-7 6-0,26,18,8
0-6 6-1 6-4,25,4,21
6-1 0-6 6-4,25,11,14
7-5 3-6 6-0,25,10,15
0-6 7-6 7-6,24,10,14
6-0 2-6 6-1,24,11,13
0-6 7-6 6-1,23,8,15
6-1 5-7 6-0,23,6,17
7-6 2-6 6-0,23,12,11
0-6 7-5 6-2,22,7,15
0-6 7-5 6-4,22,10,12
1-6 6-1 6-0,22,5,17
1-6 7-6 6-0,22,11,11
2-6 6-0 7-5,22,6,16
6-0 6-7 7-6,22,15,7
6-3 0-6 6-1,22,9,13
6-4 1-6 6-0,22,12,10
0-6 6-1 6-2,21,7,14
0-6 6-4 7-5,21,7,14
6-1 0-6 6-3,21,5,16
7-6 0-6 6-2,21,13,8
7-6 0-6 7-6,21,12,9
6-2 0-6 7-6,20,13,7
0-6 6-2 6-1,19,6,13
0-6 7-5 6-1,19,5,14
1-6 6-0 6-4,19,10,9
6-3 0-6 7-6,19,10,9
7-5 6-7 6-0,19,8,11
0-6 6-3 7-6,18,9,9
1-6 6-0 6-1,18,7,11
6-0 2-6 7-5,18,5,13
6-7 6-0 7-6,18,10,8
7-6 5-7 6-0,18,8,10
0-6 6-1 6-3,17,7,10
0-6 6-3 7-5,17,6,11
1-6 7-5 6-0,17,7,10
5-7 6-0 6-0,17,7,10
5-7 6-0 7-5,17,7,10
6-0 6-7 7-5,17,9,8
6-1 0-6 6-2,17,5,12
7-5 0-6 6-1,17,5,12
7-5 0-6 6-2,17,5,12
7-5 2-6 6-0,17,5,12
6-0 1-6 6-2,16,5,11
6-0 1-6 6-3,16,4,12
6-0 3-6 6-0,16,6,10
6-0 4-6 6-0,16,5,11
7-5 5-7 6-0,16,6,10
0-6 7-6 7-5,15,10,5
2-6 6-0 7-6,15,8,7
6-1 0-6 6-1,15,6,9
6-2 0-6 6-1,15,3,12
6-2 0-6 7-5,15,8,7
6-4 0-6 7-6,15,3,12
6-0 1-6 6-1,14,6,8
6-0 5-7 7-5,14,5,9
6-0 6-7 6-0,14,4,10
0-6 6-2 7-5,13,5,8
2-6 6-0 6-0,13,4,9
6-0 2-6 6-0,13,5,8
6-1 1-6 6-0,13,3,10
7-6 0-6 6-1,13,7,6
0-6 6-1 6-1,12,5,7
0-6 6-2 7-6,12,4,8
0-6 7-5 7-5,12,5,7
6-0 1-6 7-5,12,3,9
0-6 6-2 6-0,11,0,11
1-6 6-0 7-5,11,6,5
6-0 5-7 7-6,11,4,7
7-5 0-6 7-6,11,7,4
0-6 6-4 6-0,10,4,6
6-1 0-6 7-5,10,3,7
6-3 0-6 6-0,10,5,5
7-5 1-6 6-0,10,5,5
7-6 0-6 7-5,10,6,4
0-6 6-0 6-1,9,2,7
0-6 6-1 6-0,9,1,8
0-6 6-1 7-5,9,4,5
0-6 7-5 7-6,9,5,4
1-6 6-0 7-6,9,5,4
6-0 2-6 7-6,9,7,2
7-6 1-6 6-0,9,2,7
7-5 0-6 7-5,8,5,3
5-7 6-0 7-6,7,5,2
6-0 0-6 6-2,7,4,3
6-1 0-6 7-6,7,2,5
0-6 6-0 6-4,6,0,6
0-6 6-1 7-6,6,2,4
0-6 7-5 6-0,6,2,4
1-6 6-0 6-0,6,1,5
6-0 0-6 6-1,6,3,3
6-0 0-6 6-4,6,0,6
6-4 0-6 6-0,6,3,3
7-6 0-6 6-0,6,3,3
0-6 6-0 6-3,5,0,5
6-0 1-6 7-6,5,3,2
6-1 0-6 6-0,5,2,3
7-5 0-6 6-0,5,2,3
0-6 6-0 6-2,4,3,1
0-6 6-3 6-0,4,1,3
6-0 0-6 6-3,4,1,3
6-0 0-6 7-6,4,1,3
6-0 5-7 6-0,4,0,4
0-6 6-0 6-0,3,0,3
6-0 1-6 6-0,3,1,2
6-2 0-6 6-0,3,1,2
0-6 6-0 7-5,2,0,2
0-6 6-0 7-6,1,1,0
0-6 7-6 6-0,1,0,1
6-2 7-6 6-7,1,1,0
6-4 7-6 6-7,1,1,0
7-5 6-4 3-6,1,1,0
7-6 6-4 2-6,1,0,1
