scoreline,first_set,is_straight_sets,num_sets,set1_score,set2_score,set3_score,observed_all_time,observed_2024,count_all_time,count_atp_all_time,count_wta_all_time,count_2024,count_atp_2024,count_wta_2024
1-6 6-0 6-3,1-6,FALSE,3,1-6,6-0,6-3,TRUE,FALSE,30,11,19,0,0,0
2-6 6-0 6-3,2-6,FALSE,3,2-6,6-0,6-3,TRUE,TRUE,57,20,37,1,0,1
3-6 6-0 6-3,3-6,FALSE,3,3-6,6-0,6-3,TRUE,FALSE,92,47,45,0,0,0
4-6 6-0 6-3,4-6,FALSE,3,4-6,6-0,6-3,TRUE,TRUE,122,59,63,1,0,1
5-7 6-0 6-3,5-7,FALSE,3,5-7,6-0,6-3,TRUE,TRUE,39,18,21,1,0,1
6-7 6-0 6-3,6-7,FALSE,3,6-7,6-0,6-3,TRUE,FALSE,59,30,29,0,0,0
0-6 6-1 6-3,0-6,FALSE,3,0-6,6-1,6-3,TRUE,FALSE,17,7,10,0,0,0
1-6 6-1 6-3,1-6,FALSE,3,1-6,6-1,6-3,TRUE,TRUE,75,28,47,2,0,2
2-6 6-1 6-3,2-6,FALSE,3,2-6,6-1,6-3,TRUE,TRUE,123,48,75,2,1,1
3-6 6-1 6-3,3-6,FALSE,3,3-6,6-1,6-3,TRUE,TRUE,212,91,121,2,1,1
4-6 6-1 6-3,4-6,FALSE,3,4-6,6-1,6-3,TRUE,TRUE,267,111,156,2,1,1
5-7 6-1 6-3,5-7,FALSE,3,5-7,6-1,6-3,TRUE,TRUE,109,40,69,1,1,0
6-7 6-1 6-3,6-7,FALSE,3,6-7,6-1,6-3,TRUE,TRUE,136,69,67,1,1,0
0-6 6-2 6-3,0-6,FALSE,3,0-6,6-2,6-3,TRUE,TRUE,35,15,20,1,0,1
1-6 6-2 6-3,1-6,FALSE,3,1-6,6-2,6-3,TRUE,TRUE,152,53,99,2,1,1
2-6 6-2 6-3,2-6,FALSE,3,2-6,6-2,6-3,TRUE,TRUE,256,106,150,3,2,1
3-6 6-2 6-3,3-6,FALSE,3,3-6,6-2,6-3,TRUE,TRUE,377,179,198,6,2,4
4-6 6-2 6-3,4-6,FALSE,3,4-6,6-2,6-3,TRUE,TRUE,468,229,239,11,3,8
5-7 6-2 6-3,5-7,FALSE,3,5-7,6-2,6-3,TRUE,TRUE,189,80,109,5,3,2
6-7 6-2 6-3,6-7,FALSE,3,6-7,6-2,6-3,TRUE,TRUE,247,149,98,6,2,4
